frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 500.0, NC1-1.out,1, 1, 41, 1.33375e-10, 40, 28, 8, 4
2, 1000.0, NC2-2.out,1, 1, 40, 6.33624e-10, 40, 28, 7, 5
3, 2000.0, NC3-3.out,1, 1, 34, 5.77767e-10, 41, 27, 7, 7
4, 3000.0, NC4-4.out,1, 1, 28, 1.75171e-10, 51, 30, 8, 13
5, 4000.0, NC5-5.out,1, 1, 25, 6.62097e-10, 57, 28, 8, 21
