frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 500.0, NC1-1.out,1, 1, 40, 1.91295e-10, 39, 28, 7, 4
2, 1000.0, NC2-2.out,1, 1, 40, 8.9226e-11, 39, 27, 7, 5
3, 2000.0, NC3-3.out,1, 1, 28, 9.90677e-10, 41, 28, 7, 6
4, 3000.0, NC4-4.out,1, 1, 30, 7.18962e-10, 47, 28, 7, 12
5, 4000.0, NC5-5.out,1, 1, 26, 2.22529e-10, 58, 30, 7, 21
