frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1000.0, NC1-1.out,1, 1, 35, 5.20549e-10, 29, 21, 5, 3
2, 2000.0, NC2-2.out,1, 1, 39, 5.68021e-10, 30, 20, 6, 4
3, 3000.0, NC3-3.out,1, 1, 28, 9.37216e-10, 33, 20, 6, 7
4, 4000.0, NC4-4.out,1, 1, 24, 4.86246e-10, 40, 22, 6, 12
