frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1000.0, NC1-1.out,1, 1, 36, 6.37975e-10, 29, 21, 5, 3
2, 2000.0, NC2-2.out,1, 1, 48, 2.97884e-10, 31, 21, 6, 4
3, 3000.0, NC3-3.out,1, 1, 26, 1.56568e-10, 34, 22, 5, 7
4, 4000.0, NC4-4.out,1, 1, 24, 6.51894e-10, 40, 22, 6, 12
