frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 29, 3.6051e-10, 76, 56, 16, 4
2, 2500.0, NC2-2.out,1, 1, 22, 4.71863e-11, 78, 57, 15, 6
3, 5000.0, NC3-3.out,1, 1, 17, 1.82924e-10, 93, 62, 15, 16
