frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 24, 2.78929e-10, 77, 59, 14, 4
2, 2500.0, NC2-2.out,1, 1, 18, 8.34755e-10, 82, 60, 16, 6
3, 5000.0, NC3-3.out,1, 1, 15, 5.51538e-10, 91, 61, 14, 16
