frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 29, 9.26818e-10, 134, 108, 22, 4
2, 2500.0, NC2-2.out,1, 1, 44, 1.1932e-10, 138, 104, 30, 4
3, 5000.0, NC3-3.out,1, 1, 23, 7.53773e-10, 161, 113, 27, 21
