frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 30, 1.82848e-10, 133, 104, 24, 5
2, 2500.0, NC2-2.out,1, 1, 42, 2.29213e-10, 142, 105, 32, 5
3, 5000.0, NC3-3.out,1, 1, 27, 1.50725e-10, 158, 105, 34, 19
