frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 31, 3.51042e-10, 135, 99, 31, 5
2, 2500.0, NC2-2.out,1, 1, 45, 9.33441e-11, 133, 95, 32, 6
3, 5000.0, NC3-3.out,1, 1, 23, 9.07711e-10, 149, 107, 23, 19
