frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1250.0, NC1-1.out,1, 1, 30, 5.63673e-10, 153, 115, 32, 6
2, 2500.0, NC2-2.out,1, 1, 42, 1.74397e-10, 151, 109, 37, 5
3, 5000.0, NC3-3.out,1, 1, 23, 6.12885e-10, 168, 111, 35, 22
