frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 500.0, NC1-1.out,1, 1, 37, 7.99993e-10, 37, 25, 7, 5
2, 1000.0, NC2-2.out,1, 1, 36, 1.66109e-10, 38, 26, 7, 5
3, 2000.0, NC3-3.out,1, 1, 29, 7.7094e-10, 39, 26, 7, 6
4, 3000.0, NC4-4.out,1, 1, 26, 9.09703e-10, 44, 26, 7, 11
5, 4000.0, NC5-5.out,1, 1, 18, 9.38719e-10, 50, 29, 7, 14
