frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 500.0, NC1-1.out,1, 1, 37, 6.11045e-10, 35, 25, 6, 4
2, 1000.0, NC2-2.out,1, 1, 34, 6.92402e-10, 37, 26, 6, 5
3, 2000.0, NC3-3.out,1, 1, 28, 9.92795e-10, 38, 26, 6, 6
4, 3000.0, NC4-4.out,1, 1, 26, 1.45955e-10, 44, 26, 7, 11
5, 4000.0, NC5-5.out,1, 1, 22, 6.82804e-10, 50, 25, 7, 18
