frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 500.0, NC1-1.out,1, 1, 42, 6.26174e-11, 36, 26, 6, 4
2, 1000.0, NC2-2.out,1, 1, 37, 9.80573e-10, 35, 24, 6, 5
3, 2000.0, NC3-3.out,1, 1, 29, 1.21568e-10, 35, 22, 6, 7
4, 3000.0, NC4-4.out,1, 1, 24, 8.9086e-10, 44, 26, 7, 11
5, 4000.0, NC5-5.out,1, 1, 22, 3.51611e-10, 52, 26, 8, 18
