frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 500.0, NC1-1.out,1, 1, 38, 5.84407e-10, 36, 25, 7, 4
2, 1000.0, NC2-2.out,1, 1, 37, 3.3651e-10, 37, 26, 6, 5
3, 2000.0, NC3-3.out,1, 1, 31, 3.00334e-10, 38, 26, 6, 6
4, 3000.0, NC4-4.out,1, 1, 24, 8.91758e-10, 44, 26, 6, 12
5, 4000.0, NC5-5.out,1, 1, 23, 2.82471e-10, 52, 29, 8, 15
