frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1000.0, NC1-1.out,1, 1, 40, 2.69864e-10, 51, 36, 9, 6
2, 2000.0, NC2-2.out,1, 1, 34, 8.20108e-10, 33, 24, 5, 4
3, 3000.0, NC3-3.out,1, 1, 28, 5.99212e-10, 57, 32, 9, 16
4, 4000.0, NC4-4.out,1, 1, 25, 2.94476e-10, 54, 27, 8, 19
