frequency step, frequency in Hz, NC input file, Input check passed, Converged, Num. iterations, relative error, Comp. time total, Comp. time assembling, Comp. time solving, Comp. time post-proc.
1, 1000.0, NC1-1.out,1, 1, 33, 4.4603e-10, 34, 22, 7, 5
2, 2000.0, NC2-2.out,1, 1, 26, 6.58133e-10, 49, 32, 9, 8
3, 3000.0, NC3-3.out,1, 1, 25, 3.32751e-10, 50, 33, 7, 10
4, 4000.0, NC4-4.out,1, 1, 23, 4.78047e-10, 53, 27, 8, 18
